id,store,sales,location,min_weekly_visits,max_weekly_visits,mandatory_monday_visit,min_visit_duration,max_visit_duration,min_service_duration,max_service_duration,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
s_id_59,"Hiper, Cumbres","$3,401,253","25.7271985,-100.389804",3,3,0,180,180,540,540,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00
s_id_116,"Supercenter, La Huasteca","$3,700,195","25.6748345,-100.4508455",0,2,0,120,180,0,360,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_66,"Hiper, San Pedro","$3,163,392","25.6641999,-100.3836134",3,3,0,180,180,540,540,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00
s_id_70,"Hiper, Sendero Escobedo","$2,870,445","25.7688938,-100.3020507",3,3,0,180,180,540,540,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,22:00:00
s_id_119,"Supercenter, Lopez Mateo Fundidores","$2,313,302","25.7329325,-100.2458735",0,2,0,120,180,0,360,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_82,"Julio Cepeda, Gonzalitos","$19,996,105","25.6838569,-100.3513762",3,3,1,360,360,720,720,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00
s_id_109,"Supercenter, Cumbres Monterrey","$4,482,509","25.7268543,-100.3933715",3,3,0,180,180,540,540,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_113,"Supercenter, Gomez Morin","$8,028,029","25.6438187,-100.3617043",3,3,1,360,360,720,720,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_115,"Supercenter, La Fe","$5,019,239","25.720185,-100.2190119",3,3,0,180,180,540,540,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_120,"Supercenter, Miguel Aleman","$9,014,971","25.6905939,-100.239257",3,3,1,360,360,720,720,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_125,"Supercenter, San Nicolas","$5,813,568","25.7685433,-100.2697347",3,3,0,180,180,540,540,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_127,"Supercenter, Valle Oriente","$3,205,726","25.6398968,-100.3168381",3,3,0,180,180,540,540,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_128,"Supercenter, Villa De Juarez","$5,294,627","25.6508678,-100.1121093",3,3,0,180,180,540,540,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
s_id_117,"Supercenter, Las Torres","$9,502,723","25.6154139,-100.2712525",4,4,1,360,360,900,900,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
